Benchmark started.
Connection established
Adding initial posts 
Initial posts added, 1.5552561283111572
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 400435, 'avgObjSize': 1095.922209597063, 'dataSize': 438845610.0, 'storageSize': 78286848.0, 'numExtents': 0, 'indexes': 1, 'indexSize': 3801088.0, 'fsUsedSize': 223008821248.0, 'fsTotalSize': 494586032128.0, 'ok': 1.0}
2018-08-02 16:06:03.652881, 0.0, started, 0, Thread-0, windows-400000-5----
2018-08-02 16:06:03.960613, 0.0009996891021728516, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.972583, 0.004006147384643555, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.974586, 0.0020041465759277344, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:03.973586, 0.004001140594482422, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:03.973586, 0.004001140594482422, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.975586, 0.0020003318786621094, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:03.989595, 0.0010008811950683594, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.987595, 0.0030012130737304688, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.988595, 0.002001523971557617, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.988595, 0.002001523971557617, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:03.989595, 0.0020003318786621094, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.002755, 0.0020017623901367188, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.001253, 0.004002809524536133, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.002253, 0.0030028820037841797, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.003256, 0.002000570297241211, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.004255, 0.0015020370483398438, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.015871, 0.003003358840942383, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.017873, 0.001001119613647461, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.016872, 0.0020024776458740234, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.016872, 0.0020024776458740234, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.017873, 0.001001119613647461, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.031881, 0.001001119613647461, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:04.030881, 0.0020017623901367188, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.030881, 0.0020017623901367188, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.029882, 0.003000497817993164, read, 2118, Thread-3, windows-400000-5----

2018-08-02 16:06:04.031881, 0.001001119613647461, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.045925, 0.0019991397857666016, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.043921, 0.004002571105957031, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.046923, 0.0010006427764892578, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.046923, 0.0010006427764892578, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.044921, 0.0030024051666259766, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.058932, 0.004002809524536133, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.059933, 0.0030024051666259766, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.062935, 0.0010001659393310547, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.061934, 0.0020008087158203125, read, 3150, Thread-3, windows-400000-5----

2018-08-02 16:06:04.060935, 0.0030002593994140625, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.073941, 0.0040035247802734375, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:04.074941, 0.004004955291748047, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:04.075943, 0.0030028820037841797, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.077945, 0.002001047134399414, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:04.077945, 0.002001047134399414, read, 2118, Thread-3, windows-400000-5----

2018-08-02 16:06:04.088951, 0.003506183624267578, comment, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:04.089951, 0.003008604049682617, comment, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:04.089951, 0.003008604049682617, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.091457, 0.0025031566619873047, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:04.093459, 0.001500844955444336, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:04.104529, 0.002500772476196289, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:04.103528, 0.003502368927001953, read, 2118, Thread-1, windows-400000-5----

2018-08-02 16:06:04.106030, 0.0009996891021728516, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:04.106529, 0.0005011558532714844, upvote, 0, Thread-0, windows-400000-5----

