Benchmark started.
Connection established
Initial posts added. 362.41374373435974
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 1000000, 'avgObjSize': 1086.0, 'dataSize': 1086000000.0, 'storageSize': 1073594368.0, 'numExtents': 0, 'indexes': 1, 'indexSize': 9617408.0, 'fsUsedSize': 168740970496.0, 'fsTotalSize': 494586032128.0, 'ok': 1.0}
2018-05-16 11:50:10.110057, 0.0, started, Thread-0, windows-1000000-5
2018-05-16 11:50:10.275442, 0.0005028247833251953, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.278895, 0.0005030632019042969, upvote, Thread-1, windows-1000000-5

2018-05-16 11:50:10.280495, 0.0005033016204833984, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.282789, 0.001504659652709961, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.283793, 0.0009999275207519531, comment, Thread-3, windows-1000000-5

2018-05-16 11:50:10.286796, 0.000997781753540039, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.289865, 0.0005023479461669922, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.291418, 0.0005035400390625, upvote, Thread-4, windows-1000000-5

2018-05-16 11:50:10.294805, 0.0014994144439697266, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.295803, 0.0005013942718505859, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.297943, 0.0005037784576416016, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.300857, 0.0010020732879638672, upvote, Thread-1, windows-1000000-5

2018-05-16 11:50:10.302858, 0.0010006427764892578, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.307863, 0.0010004043579101562, upvote, Thread-3, windows-1000000-5

2018-05-16 11:50:10.308863, 0.0015006065368652344, upvote, Thread-0, windows-1000000-5

2018-05-16 11:50:10.309863, 0.0010013580322265625, upvote, Thread-2, windows-1000000-5

2018-05-16 11:50:10.312866, 0.0010001659393310547, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.314866, 0.0010020732879638672, upvote, Thread-4, windows-1000000-5

2018-05-16 11:50:10.319870, 0.0030014514923095703, upvote, Thread-3, windows-1000000-5

2018-05-16 11:50:10.321372, 0.0015001296997070312, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.322372, 0.0005002021789550781, upvote, Thread-2, windows-1000000-5

2018-05-16 11:50:10.324873, 0.0010023117065429688, comment, Thread-1, windows-1000000-5

2018-05-16 11:50:10.326375, 0.0010004043579101562, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.334880, 0.0025014877319335938, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.333380, 0.004001617431640625, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.335881, 0.0014996528625488281, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.336881, 0.001001596450805664, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.337882, 0.0004994869232177734, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.350390, 0.0010004043579101562, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.348889, 0.002501964569091797, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.347890, 0.0035004615783691406, upvote, Thread-2, windows-1000000-5

2018-05-16 11:50:10.350891, 0.0004994869232177734, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.363399, 0.0004992485046386719, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.362397, 0.0020020008087158203, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.361897, 0.0025017261505126953, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.363898, 0.0005006790161132812, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.349389, 0.01851797103881836, upvote, Thread-3, windows-1000000-5

2018-05-16 11:50:10.375889, 0.0010020732879638672, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.375390, 0.001500844955444336, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.376390, 0.0005011558532714844, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.374385, 0.0028562545776367188, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.378454, 0.0004992485046386719, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.386973, 0.003005504608154297, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.387978, 0.0020012855529785156, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.388478, 0.001500844955444336, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.389478, 0.0009996891021728516, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.388978, 0.0016126632690429688, read, Thread-2, windows-1000000-5

2018-05-16 11:50:10.402007, 0.0015020370483398438, read, Thread-4, windows-1000000-5

2018-05-16 11:50:10.400506, 0.0030028820037841797, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.401506, 0.0025026798248291016, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.403008, 0.0009999275207519531, upvote, Thread-2, windows-1000000-5

2018-05-16 11:50:10.402506, 0.0015017986297607422, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.414015, 0.003503561019897461, read, Thread-1, windows-1000000-5

2018-05-16 11:50:10.415516, 0.002501964569091797, read, Thread-3, windows-1000000-5

2018-05-16 11:50:10.415015, 0.0030035972595214844, comment, Thread-4, windows-1000000-5

2018-05-16 11:50:10.416517, 0.0015017986297607422, read, Thread-0, windows-1000000-5

2018-05-16 11:50:10.417016, 0.0010023117065429688, upvote, Thread-2, windows-1000000-5

